nit,razon_social,tipo_persona,municipio,periodo_fiscal,total_ingresos,total_costos,renta_liquida,impuesto_cargo,saldo_favor,activos_exterior_usd,fecha_presentacion,estado
892484609-9,Empresa MG S.A.S.,Natural, Bucaramanga,2020-01,43884561,34739489,9145072,3017873,761670,43522.74,23/06/2024,En revisión
964781659-6,Empresa YA S.A.S.,  Natural,BUCARAMANGA,2023-01,31031067,17164401,13866666,4575999,745651,26154.14,Dec 28 2024,Rechazada
765667491-4,Empresa LA S.A.S.,NATURAL,Cúcuta ,2020-03,3588018,1581295,2006723,662218,ninguno,23519.68,Apr 11 2024,Presentada
995403741-8,Empresa FB S.A.S., Natural,VALLEDUPAR,2022-02,9251508,2906381,6345127,2093891,929830,4036.09,Jun 12 2024,Rechazada
771690990-1,Empresa LE S.A.S., NATURAL, Pasto,2020-01,33391962,16627810,16764152,5532170,118885,51615.31,Apr 04 2024,Rechazada
724797813-1,Empresa VB S.A.S.,juridica,Popayán,2022-03,13286043,7538283,5747760,1896760,584665,1949.72,May 05 2024,Aceptada
982703708-2,Empresa JB S.A.S.,natural,pereira,2023-01,33125724,13927632,19198092,6335370,949653,40888.73,Nov 18 2024,Rechazada
748909823-2,Empresa GE S.A.S.,  Natural, Barranquilla,2021-02,23244363,13734785,9509578,3138160,460935,-18146.15,Apr 09 2024,En revisión
996085688-0,Empresa WG S.A.S.,  Natural,Pereira,2020-02,12665583,6925431,5740152,1894250,524987,33985.96,23/12/2024,Aceptada
815692531-6,Empresa QF S.A.S., NATURAL, Pasto,2022-01,22054232,8589274,13464958,4443436,N/A,50282.19,14/09/2024,Rechazada
878366172-3,Empresa BF S.A.S., NATURAL, Buga,2020-01,40971538,25116005,15855533,5232325,1907575,35600.66,Jan 01 2024,En revisión
894085622-5,Empresa WE S.A.S.,Natural,Manizales ,2023-02,43149772,17854470,25295302,8347449,,4589.02,Jan 15 2024,Presentada
748347286-6,Empresa OB S.A.S., NATURAL,NEIVA,2021-01,24063493,16324157,7739336,2553980,393535,40509.44,Nov 08 2024,Aceptada
962928394-8,Empresa MB S.A.S.,Natural,MANIZALES,2022-03,14457697,9252393,5205304,1717750,918047,51477.4,Aug 03 2024,En revisión
835753597-0,Empresa WF S.A.S.,NATURAL,BUGA,2022-02,6532413,4923593,1608820,530910,533443,52275.21,Feb 08 2024,Aceptada
762651478-8,Empresa VA S.A.S., NATURAL,bogotá d.c.,2020-02,23117292,13166412,9950880,3283790,393802,2759.24,Apr 10 2024,Aceptada
784364960-5,Empresa ZF S.A.S., NATURAL,Montería ,2023-03,46901807,37152281,9749526,3217343,1773619,44465.64,03/08/2024,En revisión
788178883-1,Empresa PF S.A.S.,natural,Popayán ,2020-02,40356151,29397382,10958769,3616393,131827,68363.29,19/10/2024,Presentada
904622267-0,Empresa JC S.A.S.,JURIDICA,Pasto,2020-01,3361614,1755283,1606331,530089,669686,75897.88,27/06/2024,Presentada
761391690-9,Empresa QG S.A.S., Natural, Cartagena,2022-02,41743315,27505174,14238141,4698586,56249,55641.87,08/06/2024,Aceptada
873083852-2,Empresa FC S.A.S.,NATURAL,Tunja,2021-01,33833807,24877513,8956294,2955577,362442,55093.54,27/07/2024,En revisión
711162879-6,Empresa OD S.A.S.,NATURAL,MEDELLIN,2020-02,29013329,16498428,12514901,4129917,1650394,6931.01,05/11/2024,Presentada
941447514-0,Empresa JE S.A.S.,  Natural,barranquilla,2020-02,38401987,30447823,7954164,2624874,1283030,53814.84,Jan 18 2024,Aceptada
764395798-2,Empresa EE S.A.S.,natural,Buga ,2020-02,36373301,18541324,17831977,5884552,821347,44864.93,Jan 16 2024,En revisión
908384141-0,Empresa DD S.A.S., Juridica,Montería ,2020-02,9039494,6301608,2737886,903502,200630,79909.82,Jun 14 2024,En revisión
700242079-1,Empresa XD S.A.S.,Natural,BOGOTA D.C.,2020-03,29103445,19720423,9383022,3096397,N/A,1105.43,11/11/2024,Presentada
919934644-5,Empresa BB S.A.S.,Natural,VALLEDUPAR,2021-02,28806656,8954848,19851808,6551096,1552530,-5034.66,12/11/2024,En revisión
982026269-8,Empresa UD S.A.S.,JURIDICA, Cúcuta,2020-01,24557891,15905711,8652180,2855219,191152,60985.4,23/11/2024,Presentada
892733819-7,Empresa SB S.A.S.,NATURAL,BUGA,2020-03,9211707,6417481,2794226,922094,1223664,18196.02,01/01/1900,Rechazada
730349187-6,Empresa FE S.A.S.,NATURAL,santa marta,2020-02,24871365,11366562,13504803,4456584,1192721,72373.93,Jul 16 2024,Aceptada
843604120-8,Empresa ED S.A.S., Natural, Buga,2020-01,14762058,11298814,3463244,1142870,919591,25274.65,01/01/1900,En revisión
962312835-6,Empresa ND S.A.S.,Natural,cúcuta,2021-03,47372646,27850569,19522077,6442285,1082438,74951.11,Sep 09 2024,Rechazada
739925293-8,Empresa WD S.A.S., Natural,ibagué,2023-01,34283819,15058170,19225649,6344464,1135876,60174.93,Jul 06 2024,Rechazada
916147065-1,Empresa AG S.A.S.,NATURAL, Buga,2022-02,36337135,15509779,20827356,6873027,1255655,47163.49,16/06/2024,Presentada
877539801-8,Empresa SD S.A.S.,Natural,PEREIRA,2022-01,19568567,13426591,6141976,2026852,1547766,19482.78,03/08/2024,Aceptada
941667278-5,Empresa BA S.A.S.,Natural, Valledupar,2021-01,3716798,2063543,1653255,545574,737362,54782.16,19/09/2024,Rechazada
925987837-1,Empresa NF S.A.S.,Natural,Cali,2020-03,42876093,19972062,22904031,7558330,1398333,62377.88,Jun 23 2024,Rechazada
984127990-3,Empresa BG S.A.S., NATURAL, Neiva,2020-03,26970585,12938314,14032271,4630649,1648666,23676.16,18/12/2024,Rechazada
770114906-5,Empresa CB S.A.S.,natural, Buga,2023-02,13607785,4153881,,3119788,1222143,56284.51,11/01/2024,Aceptada
927191703-7,Empresa PB S.A.S.,  Natural,pereira,2023-03,26987967,10235362,16752605,5528359,1875355,34046.85,20/08/2024,Aceptada
935553636-5,Empresa CH S.A.S.,  Natural,montería,2020-02,4902554,1913486,2989068,986392,1460310,44069.61,10/08/2024,Aceptada
873667893-5,Empresa NG S.A.S.,Natural,POPAYÁN,2020-01,25752736,17268689,8484047,2799735,,34645.94,28/11/2024,Presentada
876168455-7,Empresa OG S.A.S., Natural,BUCARAMANGA,2022-03,22946073,16333483,6612590,2182154,735130,69529.13,Sep 18 2024,Presentada
980560091-5,Empresa MA S.A.S.,juridica,Manizales,2023-03,12879966,7850147,5029819,1659840,298057,3466.84,05/06/2024,En revisión
868977269-2,Empresa OA S.A.S., NATURAL,Pasto,2021-03,20577851,11741207,8836644,2916092,926357,21473.38,Nov 02 2024,Rechazada
713344204-9,Empresa HE S.A.S., Natural,Bogotá D.C. ,2021-03,28546052,20094119,8451933,2789137,,65038.86,24/05/2024,Aceptada
964781659-6,Empresa YA S.A.S.,  Natural,BUCARAMANGA,2023-01,31031067,17164401,13866666,4575999,745651,26154.14,Dec 28 2024,Rechazada
835839418-7,Empresa MD S.A.S.,natural,NEIVA,2022-03,15560100,4883754,10676346,3523194,1813300,25812.37,24/10/2024,Rechazada
973498255-2,Empresa CF S.A.S., Natural, Bogotá D.C.,2020-01,29354044,18626373,10727671,,111760,14497.25,Jul 21 2024,Aceptada
893075052-7,Empresa JD S.A.S.,Natural,BUGA,2022-03,26370514,10430341,15940173,5260257,1643965,14649.58,02/09/2024,Aceptada
709852892-8,Empresa SA S.A.S., Natural,pasto,2020-02,11258378,7400791,3857587,1273003,,79905.5,Sep 13 2024,Aceptada
904622267-0,Empresa JC S.A.S.,JURIDICA,Pasto,2020-01,3361614,1755283,1606331,530089,669686,75897.88,27/06/2024,Presentada
762710366-8,Empresa RE S.A.S., Natural,Manizales,2020-03,37687327,28204323,9483004,3129391,1310739,52312.01,Apr 05 2024,En revisión
984495424-0,Empresa XB S.A.S.,NATURAL, Pereira,2020-03,9631431,,3908564,1289826,1288477,30838.7,15/03/2024,Rechazada
888340115-0,Empresa QE S.A.S., Natural,barranquilla,2021-01,15049286,11424002,3625284,1196343,N/A,12002.1,12/12/2024,Rechazada
875349381-0,Empresa DB S.A.S., Natural,Montería ,2022-03,44699365,16110548,28588817,9434309,N/A,75388.82,21/06/2024,Aceptada
784861312-1,Empresa QB S.A.S., Natural,PEREIRA,2023-01,15116189,5410483,9705706,3202882,215294,28637.87,01/01/1900,Aceptada
993858416-6,Empresa CA S.A.S.,Natural,PEREIRA,2021-01,32790704,19645232,13145472,4338005,1472914,57015.17,Sep 21 2024,Presentada
891106012-1,Empresa GC S.A.S., JURIDICA,Pasto,2022-01,44229495,22526729,21702766,7161912,N/A,27419.51,Jul 04 2024,Rechazada
722683305-8,Empresa CE S.A.S., NATURAL,CALI,2023-02,5012298,1708476,3303822,1090261,340034,33784.71,Jun 01 2024,Aceptada
969837769-7,Empresa IC S.A.S.,Natural,CALI,2020-03,18284207,11560062,6724145,2218967,1623899,75378.53,17/05/2024,Rechazada
733538718-3,Empresa BH S.A.S.,  Natural,CARTAGENA,2023-02,33287468,22238735,11048733,3646081,1534040,34843.22,23/10/2024,En revisión
806347654-9,Empresa YC S.A.S.,juridica,CUCUTA,2022-03,22890451,8129800,14760651,4871014,1321735,20120.1,Feb 21 2024,En revisión
880810467-9,Empresa JG S.A.S.,Natural,POPAYÁN,2020-03,10192880,7932781,2260099,745832,1789879,17328.66,Dec 10 2024,Rechazada
765324364-4,Empresa PD S.A.S.,Natural, Santa Marta,2021-03,49899977,37808809,12091168,3990085,1857982,28796.62,May 07 2024,En revisión
782881351-7,Empresa ZA S.A.S., NATURAL,PASTO,2021-02,29494495,21112472,8382023,2766067,1287032,30839.4,Jun 09 2024,Rechazada
933352573-1,Empresa VC S.A.S., NATURAL,santa marta,2020-02,11505660,6917821,4587839,1513986,1709279,24948.78,Feb 21 2024,Rechazada
723040431-4,Empresa TD S.A.S., NATURAL,MANIZALES,2020-03,22721453,13885637,8835816,2915819,1028341,67413.77,May 02 2024,En revisión
872103021-0,Empresa NE S.A.S.,Natural,PEREIRA,2022-01,34931533,15642715,19288818,6365309,879278,69749.92,Dec 02 2024,Presentada
848087249-6,Empresa XF S.A.S.,Natural,Popayán,2023-02,41148724,26455660,14693064,4848711,1772119,29217.33,Aug 13 2024,En revisión
861078625-4,Empresa BD S.A.S.,Natural,PEREIRA,2020-01,9795117,6707930,3087187,,955456,21299.29,08/03/2024,Rechazada
923293427-6,Empresa ZB S.A.S.,Juridica,SANTA MARTA,2020-02,32688013,16432270,16255743,5364395,282907,64238.01,Mar 25 2024,Rechazada
974083422-0,Empresa TG S.A.S.,  Natural,Valledupar ,2023-01,32042520,15449687,16592833,5475634,1855447,73017.25,Dec 11 2024,Aceptada
721621402-7,Empresa NB S.A.S.,Juridica,Medellín,2022-03,12403077,9303122,3099955,1022985,355441,57327.95,Dec 28 2024,Rechazada
900186282-6,Empresa MF S.A.S.,Natural,IBAGUE,2020-03,9482140,3826277,5655863,1866434,549335,5586.48,Apr 23 2024,Presentada
962312835-6,Empresa ND S.A.S.,Natural,cúcuta,2021-03,47372646,27850569,19522077,6442285,1082438,74951.11,Sep 09 2024,Rechazada
758104861-7,Empresa YD S.A.S.,Natural,Pereira ,2021-02,34852655,11350756,23501899,7755626,87088,47671.76,07/04/2024,En revisión
839909062-3,Empresa XC S.A.S., NATURAL, Pasto,2021-02,37389201,19817976,17571225,5798504,916981,59207.45,27/09/2024,Rechazada
858090475-6,Empresa LC S.A.S., Natural,CÚCUTA,2020-01,43098234,24736661,18361573,6059319,479029,17459.43,Mar 13 2024,En revisión
928773560-1,Empresa KA S.A.S., NATURAL,Villavicencio ,2022-02,29124768,13340071,15784697,5208950,502221,47727.57,10/06/2024,En revisión
730202071-0,Empresa PA S.A.S., NATURAL, Santa Marta,2020-01,24864863,15329269,9535594,3146746,1632368,-7623.24,Sep 22 2024,En revisión
989423755-3,Empresa KB S.A.S., Juridica,Buga ,2021-03,26410563,21091364,5319199,1755335,,42849.88,Mar 05 2024,Presentada
988063009-8,Empresa CD S.A.S., NATURAL,Buga,2022-01,43528255,24804642,18723613,6178792,266273,54229.51,04/07/2024,Presentada
870501040-3,Empresa VD S.A.S.,  Juridica,BUGA,2022-01,37002384,27115936,9886448,3262527,568298,75898.02,May 22 2024,Rechazada
899300358-7,Empresa TF S.A.S.,  Natural, Bogotá D.C.,2022-01,3944039,2455157,1488882,491331,886641,6970.1,00/00/0000,Presentada
988709063-6,Empresa VG S.A.S., Juridica, Montería,2021-01,,4667444,10230417,3376037,66878,45744.24,May 14 2024,Rechazada
890485147-7,Empresa OF S.A.S.,  Juridica,Santa Marta ,2021-01,19649265,8926614,10722651,3538474,185446,29641.75,02/11/2024,Rechazada
918452772-0,Empresa YG S.A.S.,  Juridica,TUNJA,2020-03,26073264,16439250,9634014,3179224,1739051,12754.1,17/12/2024,Aceptada
707330616-4,Empresa IG S.A.S., Natural,Medellín ,2023-02,32042750,13948090,18094660,5971237,1884034,69231.11,06/09/2024,Aceptada
773917871-2,Empresa ID S.A.S., Natural,Pereira ,2022-03,48285025,19921401,28363624,9359995,1220702,28143.83,04/07/2024,En revisión
796443349-4,Empresa HC S.A.S., NATURAL,Tunja,2020-02,41906988,26725382,15181606,5009929,1476380,79511.46,Mar 24 2024,Presentada
863961242-2,Empresa KD S.A.S.,  Natural, Montería,2020-01,20525563,11019620,9505943,3136961,1983237,3205.63,10/02/2024,En revisión
847012795-1,Empresa FA S.A.S., Natural,Santa Marta,2020-02,31835453,11462444,20373009,6723092,1720596,42213.57,21/06/2024,Aceptada
846669174-6,Empresa EF S.A.S.,NATURAL,IBAGUÉ,2021-03,16582705,5494668,11088037,3659052,1029378,62209.55,07/02/2024,En revisión
790243380-5,Empresa XG S.A.S.,Natural,CÚCUTA,2020-02,29199034,10060604,19138430,6315681,1488008,54543.39,21/06/2024,En revisión
828018340-9,Empresa UG S.A.S.,juridica,bucaramanga,2023-02,46391523,24896989,21494534,7093196,289146,12057.26,23/04/2024,En revisión
918856733-2,Empresa UC S.A.S.,NATURAL,cali,2021-02,33915252,16135982,17779270,5867159,256659,79817.36,Jun 04 2024,Presentada
782881351-7,Empresa ZA S.A.S., NATURAL,PASTO,2021-02,29494495,21112472,8382023,2766067,1287032,30839.4,Jun 09 2024,Rechazada
866846172-3,Empresa WC S.A.S., NATURAL,Buga ,2021-03,23418572,12024548,11394024,3760027,1339626,69406.57,14/05/2024,Rechazada
856248842-5,Empresa IA S.A.S., Natural,ibagué,2020-01,35999142,16443524,19555618,6453353,,67072.6,14/05/2024,Presentada
963069308-2,Empresa GB S.A.S.,Natural,valledupar,2022-02,34770337,25786731,8983606,2964589,ninguno,20383.12,07/06/2024,En revisión
876088073-2,Empresa SF S.A.S.,natural,ibagué,2023-01,31349463,21148310,10201153,3366380,1672427,11449.2,Jul 17 2024,Rechazada
950304809-9,Empresa UF S.A.S.,Natural,IBAGUÉ,2020-02,45388975,20584647,24804328,8185428,488429,-15882.91,09/08/2024,En revisión
717889293-8,Empresa PG S.A.S.,natural,POPAYÁN,2021-01,13410607,5023734,8386873,2767668,1555178,27768.7,17/05/2024,Rechazada
752354281-7,Empresa JF S.A.S., NATURAL,ARMENIA,2022-02,23554182,12906134,10648048,3513855,1100546,-22891.66,Jul 05 2024,Presentada
770909485-1,Empresa SE S.A.S., JURIDICA,CARTAGENA,2021-01,44719333,14887311,29832022,9844567,526262,30308.35,Sep 23 2024,En revisión
895531676-3,Empresa PC S.A.S.,natural, Pasto,2022-03,30271520,17038051,13233469,4367044,862458,50013.69,28/01/2024,Aceptada
918452772-0,Empresa YG S.A.S.,  Juridica,TUNJA,2020-03,26073264,16439250,9634014,3179224,1739051,12754.1,17/12/2024,Aceptada
989039887-3,Empresa GA S.A.S.,Natural,BUGA,2022-03,3824339,1820290,2004049,661336,378747,28460.29,Oct 25 2024,Rechazada
710989657-2,Empresa DA S.A.S., NATURAL,POPAYÁN,2021-01,32321184,23725288,8595896,2836645,1393965,15488.08,22/03/2024,En revisión
901866785-0,Empresa AA S.A.S.,Natural,Armenia,2020-02,28199790,19852581,8347209,2754578,1140583,64649.17,01/01/1900,Presentada
959274641-6,Empresa AH S.A.S.,  Natural, Ibagué,2023-03,28090772,9088377,19002395,6270790,877891,47848.83,08/08/2024,Presentada
992657425-4,Empresa AB S.A.S., Natural,CÚCUTA,2020-02,19881549,14326446,5555103,1833183,982077,21458.02,10/10/2024,En revisión
814795635-8,Empresa FG S.A.S., Natural, Cartagena,2020-02,41085174,30683491,10401683,3432555,425611,73602.38,28/05/2024,Presentada
848048570-5,Empresa QA S.A.S., Natural,villavicencio,2023-03,49464057,38981910,10482147,3459108,1707093,18984.76,Sep 15 2024,Rechazada
892484609-9,Empresa MG S.A.S.,Natural, Bucaramanga,2020-01,43884561,34739489,9145072,3017873,761670,43522.74,23/06/2024,En revisión
957593147-0,Empresa AD S.A.S.,  Natural, Neiva,2020-03,27927177,18648201,9278976,3062062,1711667,20461.58,01/12/2024,Presentada
806347654-9,Empresa YC S.A.S.,juridica,CUCUTA,2022-03,22890451,8129800,14760651,4871014,1321735,20120.1,Feb 21 2024,En revisión
820261927-1,Empresa HG S.A.S., Natural,ibagué,2021-03,34412167,11625253,22786914,7519681,1030313,16034.5,16/08/2024,Aceptada
721621402-7,Empresa NB S.A.S.,Juridica,Medellín,2022-03,12403077,9303122,3099955,1022985,355441,57327.95,Dec 28 2024,Rechazada
757179142-5,Empresa ZC S.A.S.,NATURAL,Montería ,2022-03,45416332,23260098,22156234,7311557,,48893.89,13/06/2024,Rechazada
916990508-9,Empresa VF S.A.S.,Juridica,Tunja,2022-03,15052006,9585098,5466908,1804079,1690756,44651.55,26/12/2024,En revisión
849748334-2,Empresa EC S.A.S.,NATURAL,Cali,2022-01,39525531,15797630,23727901,7830207,1636123,27298.81,Mar 24 2024,Aceptada
784360145-2,Empresa HF S.A.S.,NATURAL,CALI,2021-01,49345592,24577135,24768457,8173590,923895,75629.88,06/10/2024,En revisión
863246184-8,Empresa CG S.A.S.,NATURAL, Cali,2023-02,14612771,4892563,9720208,3207668,1922047,15388.0,17/04/2024,Rechazada
841579688-1,Empresa HA S.A.S.,NATURAL,Bucaramanga,2020-02,39770975,17262605,22508370,7427762,1215459,11043.14,Mar 24 2024,Presentada
